DT_DISPATCH,ISO_COUNTRY_CODE,TYPE_OF_CONTRACT,CPV,LOTS_NUMBER,VALUE_EURO,CRIT_CODE,CPV_GROUP
17/07/23,ES,S,90500000.0,1.0,254608.77,M,90
01/06/21,ES,U,33184100.0,3.0,282238.0,M,33
20/05/20,ES,S,79713000.0,1.0,,,79
29/09/22,ES,U,48218000.0,1.0,306346.41,L,48
31/07/18,ES,U,30213300.0,7.0,154014.0,,30
25/04/22,ES,U,30200000.0,4.0,2004115.87,,30
19/04/22,ES,U,22610000.0,24.0,220564.4,M,22
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
16/07/19,ES,U,30000000.0,1.0,606607.6,M,30
23/02/23,ES,U,33184100.0,1.0,5520000.0,,33
20/12/21,ES,S,92600000.0,1.0,,,92
20/02/23,ES,U,33184300.0,6.0,2981556.55,M,33
28/01/19,ES,U,31680000.0,5.0,895972.79,M,31
01/07/22,ES,U,33141113.0,35.0,9783000.0,M,33
12/12/19,ES,U,44510000.0,50.0,546694.5,M,44
28/12/20,ES,S,50230000.0,1.0,11720150.78,M,50
04/12/18,ES,U,39710000.0,2.0,148736.77,M,39
01/06/21,ES,S,92600000.0,1.0,,,92
06/09/19,ES,S,50700000.0,15.0,1594632.95,M,50
29/06/21,ES,S,80000000.0,42.0,,,80
14/10/21,ES,U,38430000.0,5.0,363874.05,M,38
18/01/19,ES,S,50312400.0,1.0,522497.4,,50
15/02/18,ES,S,90911200.0,0.0,423733.33,M,90
25/10/22,ES,U,30197630.0,1.0,421487.6,M,30
28/01/20,ES,S,80500000.0,8.0,441600.0,,80
24/10/22,ES,U,33158000.0,11.0,375210.65,M,33
08/01/21,ES,U,15800000.0,39.0,380899.64,,15
09/01/18,ES,S,60130000.0,92.0,15095743.6,,60
17/07/19,ES,S,60000000.0,467.0,35579183.53,M,60
26/06/19,ES,S,85321000.0,1.0,,,85
22/12/23,ES,U,39160000.0,2.0,3636363.63,,39
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
01/06/23,ES,U,42514310.0,4.0,1118229.84,M,42
07/05/20,ES,S,79710000.0,5.0,,,79
21/12/21,ES,U,33140000.0,8.0,13249365.32,,33
10/12/21,ES,U,9343000.0,29.0,4000485.06,L,93
17/08/20,ES,S,60130000.0,54.0,32877713.95,,60
05/03/20,ES,S,50700000.0,1.0,3451542.64,M,50
15/06/21,ES,U,9331000.0,5.0,343284.71,M,93
30/08/21,ES,U,33651400.0,60.0,1894533.63,M,33
26/07/21,ES,S,72413000.0,1.0,1239458.52,M,72
21/01/19,ES,S,90610000.0,2.0,821564.68,L,90
18/04/22,ES,U,33183200.0,11.0,,M,33
06/06/22,ES,S,72000000.0,1.0,798208.06,M,72
04/10/18,ES,S,66514110.0,1.0,494150.0,M,66
12/07/21,ES,S,50411000.0,10.0,291795.0,L,50
03/01/19,ES,U,38421100.0,13.0,12005165.6,M,38
31/05/23,ES,U,33140000.0,6.0,1542800.0,M,33
23/11/22,ES,U,34351100.0,3.0,9917355.36,L,34
15/10/21,ES,U,39150000.0,8.0,539392.37,,39
24/06/21,ES,U,22100000.0,17.0,692000.0,M,22
15/11/22,ES,S,85140000.0,9.0,,,85
05/01/22,ES,S,63510000.0,5.0,340305271.28,M,63
22/03/21,ES,U,39717000.0,1.0,249907.21,,39
26/05/21,ES,U,18130000.0,36.0,1896071.0,M,18
20/04/23,ES,U,22000000.0,2.0,240000000.0,,22
03/10/23,ES,U,15000000.0,5.0,1305225.59,M,15
24/02/20,ES,S,72600000.0,1.0,450000.0,M,72
21/11/22,ES,U,44100000.0,4.0,398376.0,M,44
12/05/22,ES,U,33650000.0,11.0,,M,33
10/01/20,ES,S,80500000.0,15.0,5059260.0,M,80
27/07/23,ES,S,50110000.0,8.0,3936642.24,,50
16/01/23,ES,S,90610000.0,2.0,121612872.24,M,90
12/04/21,ES,S,60130000.0,52.0,12320824.01,L,60
28/02/18,ES,S,65120000.0,0.0,3239997.84,M,65
03/05/18,ES,U,38527100.0,1.0,120000.0,M,38
02/12/22,ES,S,50000000.0,1.0,82644.63,,50
22/04/22,ES,S,79340000.0,7.0,607438.02,M,79
07/08/21,ES,S,85000000.0,11.0,6879090.12,,85
11/02/19,ES,U,33141310.0,10.0,2464695.0,M,33
17/05/23,ES,U,32321300.0,1.0,466163.82,,32
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
17/05/19,ES,U,38000000.0,106.0,4745623.08,M,38
03/08/23,ES,S,79710000.0,13.0,3984307.31,M,79
29/11/19,ES,S,34350000.0,3.0,619834.75,M,34
19/09/19,ES,S,85100000.0,1.0,636058.45,M,85
22/07/22,ES,S,63120000.0,1.0,3283769.12,M,63
07/11/23,ES,U,35110000.0,1.0,1175000.0,,35
22/10/18,ES,U,33140000.0,30.0,529425.92,,33
15/07/22,ES,U,15000000.0,24.0,6622374.17,M,15
23/03/23,ES,U,34300000.0,11.0,898409.16,M,34
13/05/21,ES,S,80000000.0,18.0,,,80
20/09/21,ES,S,72212900.0,50.0,7520682.0,,72
08/03/21,ES,S,50870000.0,1.0,1452030.05,M,50
14/06/22,ES,S,85310000.0,1.0,5646009.6,,85
19/10/18,ES,S,79421000.0,0.0,475206.6,M,79
26/04/21,ES,S,90670000.0,2.0,444000.0,M,90
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
01/07/22,ES,U,34142000.0,1.0,222680.0,,34
08/07/22,ES,S,79956000.0,1.0,1403656.0,,79
05/06/20,ES,U,34300000.0,12.0,826446.28,L,34
05/10/20,ES,S,50110000.0,8.0,1584000.0,,50
06/09/23,ES,U,33140000.0,158.0,21345176.17,M,33
05/04/18,ES,S,60112000.0,4.0,2982386.38,,60
17/05/19,ES,U,38000000.0,106.0,4745623.08,M,38
15/07/20,ES,S,98341120.0,5.0,2184603.47,,98
19/11/18,ES,U,9130000.0,2.0,986886.35,L,91
18/11/21,ES,S,64200000.0,1.0,449500.0,M,64
24/11/22,ES,U,48160000.0,1.0,530800.0,M,48
21/08/20,ES,U,33100000.0,6.0,245353.5,L,33
29/12/21,ES,U,34144900.0,10.0,1055874.41,M,34
31/08/23,ES,S,50700000.0,1.0,313184.6,M,50
07/05/21,ES,S,90911200.0,1.0,2128216.7,,90
20/10/20,ES,U,18143000.0,18.0,1162616.29,M,18
23/12/20,ES,S,80500000.0,52.0,1112030.0,,80
02/06/20,ES,S,80530000.0,34.0,,,80
09/02/23,ES,S,50110000.0,1.0,229217.58,M,50
12/01/21,ES,S,71000000.0,12.0,1046552.43,,71
23/11/23,ES,S,60182000.0,2.0,662845.8,,60
20/03/23,ES,S,50730000.0,1.0,943931.3,,50
09/06/22,ES,U,33141121.0,35.0,986190.0,M,33
26/03/21,ES,U,33100000.0,32.0,1008662.13,M,33
25/05/22,ES,U,34300000.0,7.0,50461500.0,L,34
27/01/21,ES,S,71310000.0,1.0,164062.22,L,71
14/12/22,ES,S,71242000.0,4.0,1143413.92,M,71
05/03/18,ES,U,33130000.0,52.0,301149.38,L,33
04/07/23,ES,S,92312211.0,3.0,,,92
17/06/21,ES,U,33141113.0,17.0,1728561.79,M,33
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
02/11/22,ES,U,9310000.0,1.0,1286262.92,,93
17/07/19,ES,S,60000000.0,467.0,35579183.53,M,60
07/01/21,ES,U,30200000.0,8.0,9531000.0,M,30
27/10/22,ES,U,35811100.0,12.0,997100.0,M,35
09/11/23,ES,S,71600000.0,3.0,576000.0,,71
05/02/20,ES,U,39151000.0,8.0,641321.5,M,39
22/01/21,ES,S,71356000.0,2.0,2076595.3,M,71
03/10/19,ES,W,71330000.0,4.0,1600978.88,,71
11/08/22,ES,S,60130000.0,28.0,3986373.08,M,60
12/11/21,ES,U,9211000.0,1.0,,,92
05/05/23,ES,U,33140000.0,112.0,5735909.32,M,33
15/09/20,ES,S,72510000.0,1.0,7690256.0,,72
18/08/20,ES,U,18143000.0,5.0,349476.67,L,18
21/10/22,ES,U,33600000.0,14.0,1226555.0,,33
27/08/20,ES,U,33184000.0,13.0,1811157.99,,33
18/02/19,ES,S,60100000.0,43.0,5594119.92,,60
25/08/20,ES,U,33100000.0,29.0,14469470.0,M,33
17/12/19,ES,U,33181400.0,6.0,1824900.0,M,33
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
21/12/20,ES,S,66510000.0,7.0,324000.0,,66
12/01/23,ES,U,33130000.0,12.0,1090838.64,L,33
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
09/10/19,ES,S,34111200.0,7.0,236033.07,M,34
12/03/20,ES,S,79300000.0,1.0,217204.53,,79
10/12/18,ES,U,33141120.0,21.0,1828754.4,M,33
22/07/22,ES,U,33696500.0,1.0,423354.6,,33
09/07/20,ES,S,85121270.0,60.0,34824661.2,,85
01/09/21,ES,S,85100000.0,40.0,20284992.0,,85
14/07/20,ES,W,45000000.0,4.0,20000000.0,M,45
22/12/21,ES,S,71311100.0,2.0,216903.07,M,71
24/03/21,ES,S,66510000.0,4.0,396600.0,M,66
30/12/21,ES,U,42000000.0,22.0,19834693.8,M,42
01/06/23,ES,U,9134100.0,1.0,59640.0,M,91
25/11/22,ES,U,33141110.0,26.0,808307.15,M,33
12/12/18,ES,S,71242000.0,1.0,360000.0,,71
30/01/20,ES,S,65120000.0,1.0,994744.8,M,65
14/01/21,ES,S,71310000.0,1.0,584715.11,,71
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
15/07/22,ES,U,34144900.0,4.0,464400.0,M,34
30/11/21,ES,S,60112000.0,1.0,1840800.0,,60
07/08/19,ES,S,90714500.0,2.0,423769.0,L,90
30/04/21,ES,S,60130000.0,22.0,2606401.13,M,60
08/03/19,ES,S,79710000.0,12.0,1375829.14,,79
23/03/23,ES,S,90919300.0,6.0,2832267.64,M,90
16/06/23,ES,S,50413200.0,2.0,355303.8,M,50
19/10/22,ES,S,72200000.0,1.0,300000.0,M,72
04/07/18,ES,U,18000000.0,4.0,652793.39,,18
19/03/21,ES,S,50740000.0,1.0,2173233.74,,50
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
05/08/19,ES,U,15000000.0,9.0,987888.34,,15
26/07/19,ES,S,60130000.0,138.0,25419238.55,M,60
30/11/20,ES,U,33181500.0,9.0,2794584.0,M,33
31/10/19,ES,U,38433100.0,3.0,338151.0,M,38
23/12/21,ES,S,80530000.0,25.0,2008800.0,,80
14/11/22,ES,U,15800000.0,16.0,1403140.06,M,15
27/02/19,ES,U,33140000.0,11.0,5771285.0,M,33
01/04/19,ES,U,42123000.0,5.0,901194.9,M,42
10/05/21,ES,U,9134000.0,9.0,4269877.86,M,91
23/08/22,ES,U,15100000.0,25.0,1546290.48,M,15
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
18/11/21,ES,S,60140000.0,31.0,3553275.0,,60
