title,date,cpv,year,cpv_extracted,cpv_final,cpv_group
"Suministro de mobiliario de oficina destinado a los departamentos del Ayuntamiento de Palma (Lotes 1, 4, 5 y 6)",2020-01-27T10:24:13.565+01:00,,2020,,,
Strategic consultant in the framework  of the  MYPOL Project,2020-02-07T15:16:52.771+01:00,,2020,,,
Servicio Ambulancia Soporte Vital Basico Aeropuerto De Asturias.,2020-02-07T11:24:34.341+01:00,,2020,,,
Suministro y transporte de traviesas para la duplicación de vía en el tramo muriedas-santander,2020-02-06T21:01:46.110+01:00,,2020,,,
Prórroga del contrato de suministro de gas natural para el Ayuntamiento de Santomera a traves de la plataforma de contratacion de la FEMP,2020-02-06T11:14:46.553+01:00,,2020,,,
Suministro dos vehiculos todoterreno para la atención de emergencias en el ambito de los parques de emergencias adscritos al SEMCA,2020-02-05T16:34:22.755+01:00,,2020,,,
Gases,2020-02-05T11:57:17.461+01:00,,2020,,,
Servicio de dirección de obras promovidas por el Excmo. Ayuntamiento de Marbella.,2020-02-04T17:31:25.799+01:00,,2020,,,
"Servicio de Asistencia Sanitaria Ambulatoria,Especialidades y Fisioterapia en Culleredo (A Coruña)",2020-02-04T12:02:47.420+01:00,,2020,,,
Servicio de agencia de noticias de contenidos audiovisuales y fotográficos para la agencia SINC,2020-02-03T16:09:16.048+01:00,,2020,,,
Contratación de un servicio de inspección de instalaciones de protección contra incendios por Organismo de Control Acreditado (OCA) en 31 edificios de Correos.,2020-02-03T10:56:54.409+01:00,,2020,,,
Varias dependencias.-Servicio Abierto de Mantenimiento de equipos de cocina y lavandería. (CM-5010-P-20).,2020-02-14T13:33:20.812+01:00,,2020,,,
